sentence,add1,addk,tokentype
मर्सिडीज बेंज ने अपनी जीएल 63 एएमजी और एमएल 63 एएमजी के बाद भारतीय बाजार में एक और एएमजी कार ' सीएलए 45 एएमजी ' लॉन्च कर दी है। कंपनी ने मर्सिडीज सीएलए 45 एएमजी की कीमत 68 . 5 लाख रुपए ( नई दिल्ली एक्स शोरूम ) तय की है।,3.5144423795977963e-180,1.1285276719593228e-169,2.885426261626877e-203
खजराना स्थित गणेश मंदिर को लेकर अलग अलग मत है। प्रचलित मान्यताओं के अनुसार होलकर वंश के शासन के दौरान स्थानीय पुजारी को भगवान ने स्वप्न दिया था। इस सपने को सुनने के बाद रानी अहिल्या बाई होलकर ने उस जगह खुदाई कराई और यहां से वैसी ही भगवान गणेश की मूर्ति निकली जैसी सपने में बताई गई थी। इसके बाद 1735 में यहां मंदिर का निर्माण किया गया।,1.316330541663379e-246,2.76821721344207e-233,1.1974607032711587e-274
स्वेडन ने इस्राईली विदेश मंत्रालय और राजदूत इसहाक़ बाशमैन को अपने यहां सोशल मीडिया पर बैन कर दिया है।,3.855915869103893e-68,4.539870488368662e-64,2.0139716012013796e-77
"यदि मध्यप्रदेश के मंदसौर में राहुल गांधी की रैली के लिए शर्तें लागू करने वाला पत्र सच है , तो यह स्पष्ट है कि उस लेखक महोदय महोदया का विवेक पूरी तरह खत्म हो चुका है",7.96745095723369e-125,3.4733696540775266e-117,3.201901061601172e-144
मां आशापुरी के दरबार में वैसे तो वर्षभर बड़ी संख्या में श्रद्धालु आते हैं। प्रति मंगलवार महाआरती की जाती है। इस बार भी 16 अक्टूबर को महाआरती होगी। मंदिर परिसर में शतचंडी यज्ञ भी चल रहा है। इसकी पूर्णाहूति 18 अक्टूबर को होगी।,3.9810045601536844e-154,2.0505005171140464e-145,8.128909913151093e-171
दावों के बीच दिल्ली,7.658961849043257e-18,6.511708911611814e-17,1.9998157443546862e-20
केंद्र सरकार ने पुनर्विचार याचिका में कहा था कि अदालत ने फैसले में Is ( है ) को Has been ( हो चुका ) समझ कर लिख दिया . इसलिए इस पैराग्राफ में बदलाव किया जाना चाहिए .,7.970292051507935e-133,1.2328161775752285e-124,2.419278114700024e-152
जिला कोर्ट में न्यायाधीश रेखा आर . चंद्रवंशी की कोर्ट में राधिका नगर निवासी सूरज बाई ( 55 ) ने बहू नेहा के खिलाफ वकील कृष्ण कुमार कुन्हारे व वकील काशू महंत के माध्यम से परिवाद दायर किया था . वकील कुन्हारे के मुताबिक सूरज बाई के बेटे दीपक की शादी नेहा से हुई थी . शादी के चार साल तक बहू नेहा ससुराल ही नहीं आई . दीपक और अन्य परिजन बड़ी मुश्किल से समझाकर उसे घर लेकर आए .,1.0847514080194245e-288,1.1562169172286222e-272,6.78e-321
स्वास्तिक शास्त्रों के अनुसार बहुत ही महत्वपूर्ण माना जाता है। इसलिये जब भी आप स्वास्तिक बनाये तो उस जगह पर स्वच्छ व शुद्ध स्थान का ही चुनाव करें। क्योंकि अशुद्ध स्थान जैसे शौचालय या फिर किसी गंदगी वाले स्थान पर स्वास्तिक बनाने से आपकी बुद्धि और विवेक भ्रष्ट हो सकता है। अशुद्ध जगहों पर स्वास्तिक बनाना निषेध माना जाता है।,5.724071814382899e-214,7.304205866191087e-202,3.610189313805369e-237
"थल सेना ने लिखा है कि भारतीय सैन्य टुकड़ी ने सफलतापूर्वक वाई नाला से पीएलए की चौकी को खाली करा दिया तथा वे पीपी 14 पहुंचे , जहां भारतीय थल सेना और पीएलए के सैनिकों के बीच झड़प हुई . कर्नल बी संतोष बाबू ने नेतृत्व संभाला और उनके सैनिक बहादुरी से लड़े , जिसमें पीएलए के कई सैनिक हताहत हुए . इस लड़ाई में 20 ' गलवान के वीर ' शहीद हो गये .",1.5442171518289133e-269,4.1934708311307272e-255,1.3328027314250501e-296
"कैंटीन में कार्ड होल्डर के साथ एक परिजन की एंट्री , फ्रेंड्स की एंट्री बंद",1.274989294209601e-57,9.540219815100544e-55,4.4908813203341876e-63
"सपा की ओर से निवर्तमान जिला पंचायत अध्यक्ष अभिषेक यादव की पहल से प्रसपा सुप्रीमो शिवपाल सिंह यादव ने सपा प्रसपा के संयुक्त उम्मीदवारों पर मोहर लगा दी। इससे सपा के गढ़ कहे जाने वाले ब्लाक सैफई , जसवंतनगर , बसरेहर , ताखा और भरथना में सपा प्रसपा उम्मीदवारों के पक्ष में जमकर मतदान हुआ। हालांकि इन स्थानों पर सपा के बागियों ने अपनी चाल चली है जिससे परिणाम कुछ भी प्रकट हो लेकिन सपा प्रसपा के गठजोड़ से इन दोनों के मतदाताओं और कार्यकर्ताओं ने एकजुटता दिखाकर अपनी ताकत का अहसास मतदान के दौरान कराया है। इस तत्थ को इनके विपक्षी दल भी स्वीकार रहे हैं। हकीकत तो मतगणना के पश्चात ही प्रकट होगी लेकिन सपा प्रसपा के कार्यकर्ताओं का जोश बहुत कुछ बयां कर रहा है।",0.0,0.0,0.0
"खंडहर में तब्दील हो चुकी है जूता फैक्टी , मकान भी नया बन गया",2.095945302164261e-54,1.358801607061472e-51,3.953885007780189e-59
"एसडीओ शैलेश कुमार चौधरी ने कहा कि सभी दुकानदारों को अपनी दुकान पर मूल्य प्रदर्शन करना अनिवार्य है। जहां मूल्य प्रदर्शन नही होगा वहां कार्रवाई होगी। आम लोगो को भी हेल्पलाइन नंबर दिया गया है। कही भी जमाखोरी एवं अनियमितता दिखे तो शिकायत करे। उसके विरुद्ध तुरंत कार्रवाई करने का निर्देश दिया गया है। छापामार गस्ती दल में झंझारपुर , लखनौर , मधेपुर एवं अंधराठाढ़ी प्रखंड क्षेत्र में सीओ और एमओ रहेंगे।",7.499784034978399e-257,7.480094595481426e-243,1.0237437893766264e-283
बॉलीवुड अभिनेत्री करीना कपूर खान शुक्रवार को बांद्रा में अपने बेटे तैमूर अली खान के साथ नजर आईं।,3.0192607246561094e-68,9.089528408505747e-65,1.6269448693482387e-74
"अब आर्सेनिक क्या है यह थोड़ा जान लीजिए . आर्सेनिक कोई प्रदूषण नहीं है जो मल मूत्र या इंडस्ट्रियों के कचरे से गंगा में जा रहा है . वास्तव में आर्सेनिक गंगा में है ही नहीं . आर्सेनिक गंगा तट पर मौजूद भूमिगत जल में है . यह हजारों साल पहले हिमालय से बहकर आया एक सेमी मेटिलिक तत्व है , जो आयरन , कैल्शियम , कॉपर आदि के साथ क्रिया करता है . इसे इसके जहरीलेपन की वजह से जाना जाता है . इसमें कैंसर पैदा करने की क्षमता है और ये हवा , पानी , त्वचा और भोजन के संपर्क में आकर हमारे शरीर में पहुंच जाता है .",0.0,0.0,0.0
महाकाल की भूमि उज्जैन को पृथ्वी का केंद्र माना जाता है। सनातन धर्म में निष्ठा रखने वाले हजारों सालों से उज्जैन को पृथ्वी का केंद्र मानते आ रहे है और इसी आधार पर खगौल विज्ञान का आंकलन करते रहे हैं। इसलिए उज्जैन में सूर्य की गणना और ज्योतिष गणना के लिए मानव निर्मित यंत्र भी बनाये गये है। ये यंत्र एक दो शताब्दियों पहले नहीं अपितु करीब 2050 वर्ष पहले स्थापित किए गए हैं।,1.9238240534081573e-264,4.2157114088748994e-250,6.235092362710632e-292
"कोरोना काल में 7 वीं बार पीएम मोदी का संबोधन होगा खास , जानिए इससे पहले क्या कहा पीएम ने",1.5817990806210419e-75,1.968712534198174e-71,1.364313964548298e-83
प्रारंभिक शेष 36 . 70 करोड़,9.246062188864747e-27,1.357026974444636e-25,2.46039617932533e-28
13 साल की मासूम किशोरी ने अपने ही घर में फंदा लगाकर अपनी जीवनलीला समाप्त कर ली। बताया जा रहा है कि उसका अपनी छोटी बहन से विवाद हो गया था। जिसके बाद किशोरी ने आत्मघाती कदम उठाया। सुनगढ़ी पुलिस ने शव को कब्जे में लेकर पोस्टमार्टम के लिए भिजवाया है।,2.538840677837289e-175,1.4517396814431222e-164,8.31078826672122e-202
Video अंधेरा होते ही ऐसे दिखते हैं महाकाल . . . जानिए क्यों,1.8232671419779616e-49,8.641670306341131e-47,1.2920477573775118e-55
घटिया निर्माण पर बिफरे विधायक,4.763155086738343e-23,4.689093964258348e-22,3.9590586684471775e-24
Costlier Diwali : कोरोना वयरस संक्रमण के चलते फैली वैश्विक महामारी का असर रोशनी के त् योहार दीपावली पर भी देखा जा रहा है . इस बार आतिशबाजी करना काफी महंगा साबित हो सकता है . पटाखों की कीमत में वृद्धि के कारण डीलर के साथ ही खरीदार भी परेशान हैं . पिछले साल के मुकाबले इस वर्ष पटाखों पर ज् यादा खर्च करना पड़ सकता है . इससे दुकानदार के माथों पर भी शिकन हैं . पटाखों का बाजार मंदा होने का असर खुदरा विक्रेताओं पर भी पड़ने की संभावना है .,2.84352218178e-312,1.242983716619823e-292,0.0
अब तक कोई दिशा निदर्ेश नहीं,1.4187676482924592e-24,4.575511297562414e-23,2.5178721520865694e-28
मदरसे में गए एक स्थानीय पत्रकार ने कुछ छात्रों और शिक्षकों से बात की। उसने कहा जैश ए मोहम्मद और मसूद अजहर के बारे में पूछने पर उन लोगों ने पूरी तरह अनभिज्ञता जाहिर की। हो सकता है कि हमारे जाने से पहले उन्हें सिखा पढ़ा दिया गया हो।,1.7535803923447624e-171,3.589845838294857e-161,1.7412797410514392e-193
"पल्स पोलियो अभियान का शुभारंभ करते हुए स्वास्थ्य मंत्री डॉ . नरोत्तम मिश्रा ने रविवार सुबह अपने बंगले पर दो बूंद जिंदगी की पोलियो खुराक नन्हें मुन्हें बच्चों को पिलाई। इस दौरान उन्होंने पोलियो मोबाइल टीमों को हरी झंडी दिखाकर रवाना किया। अभियान तहत 0 से 5 वर्स तक के बच्चों को पोलियो की दवा पिलाई जाएगी। जिनकी संख्या 119825 है। 1028 पोलियो बूथ बनाए गए है। जिसमें 2150 वैक्सीनेटर , 106 सुपरवाइजर , 5 ट्रांजिस्ट टीम व मोबाइल टीम बनाई गई है।",5.136728973932087e-302,2.0143151812426607e-286,0.0
केंद्रीय रेल राज्यमंत्री मनोज सिन् हा के पैतृक घर से चोरों ने घरेलू उपयोग के सामान उड़ा लिए और चंपत हो गए।,4.782864257549455e-84,7.300617605161031e-80,1.8110189411925794e-90
50 फीसद शिकायतें कब्जे को लेकर,2.46589484502741e-25,5.108525531488709e-24,2.3110717640993667e-28
प्रियंका माहेश्वरी ने किया है एमबीए,4.407239828309395e-25,9.740579737717966e-24,6.471174062809113e-28
लाइसेंस क्षेत्र के बाहर बिक्री,3.471353087191398e-22,3.917203493334448e-21,4.397035545094886e-24
गैंगरेप और पास्को एक्ट के तहत गिरफ्तार कर पुलिस ने तीनों को भेजा जेल,4.114562538105369e-53,3.0698011697626924e-50,1.4072823060841012e-59
सुबोध थवाईत,6.799913729319078e-12,2.106954196170098e-11,3.736842439517573e-12
"इस पूरे प्रकरण के दौरान लंदन में मौजूद रहे बीसीसीआई के एक वरिष्ठ अधिकारी ने कहा , रिपोर्टों में कहा गया है कि सीएसी ने कुंबले का कार्यकाल बढ़ाने के लिये कहा है। उन्होंने ऐसा कहा था लेकिन इसमें एक शर्त भी थी सभी लंबित मसलों को सुलझााने के बाद ही कुंबले को रिटेन किया जाना चाहिए।",1.284862646378925e-196,6.987631403951092e-185,4.475727383477388e-227
खासतौर पर पीठ पर और रीढ़ की हड्डी के पास मालिश करते समय ध्यान रखें कि आप बेवजह दबाव न डालें,1.1725531214126249e-80,9.258111973246315e-77,9.507624679821751e-87
"कासगंज हिंसा : चंदन को भगवा ने मारा यह लिखने वाली अफसर पर एक्शन , हटानी पड़ी पोस्ट",4.747861433932978e-71,8.40054567684182e-68,4.863927594871047e-75
"बिलासपुर। सांप काटने से महिला की मौत हो गई। सूचना पर पुलिस मर्ग कायम कर मामले की जांच कर रही है। जानकारी के अनुसार कोटा थाना क्षेत्र के ग्राम केंदा की रहने वाली दुर्गा बाई पोर्ते पति गणेश पोर्ते ( 45 ) को घर में ही जहरीले सांप ने काट लिया। हालत बिगड़ने पर उसे उपचार के लिए सिम्स में भर्ती कराया गया था , लेकिन उसकी हालत में सुधार नहीं हुआ और मौत हो गई।",7.754785928258862e-259,2.0928140064059236e-242,2.2818895846485645e-300
"जिन लोगों को उनके घर से सुरक्षित बाहर निकाला गया , उनमें कांग्रेस नेता व राज्य में पार्टी के पूर्व अध्यक्ष वी . एम . सुधीरन व उनकी पत्नी शामिल हैं। अभिनेता व राज्यसभा सदस्य सुरेश गोपी के घर में भी बाढ़ का पानी घुस गया है।",2.2848703393113926e-163,2.531894952400989e-153,2.9246470860172423e-187
इसके बाद मोर्गन ने अपने बेटों 11 साल के जियो और नौ साल के विल को एक डेटिंग वेबसाइट दिखाई और कहा कि इस वेबसाइट पर अपने लिए पिता का चुनाव करो।,1.4750821689421626e-114,4.054493691882403e-108,1.3925403586370765e-129
जयपुर आगरा हाईवे हो सकता है बाधित,4.724773621091738e-28,2.1085395314914215e-26,2.2411780582728896e-31
"कई जगहों पर एनसीपी और बीजेपी , अध्यक्ष पद के लिए साथ आये है तो वहीं जलगांव में बीजेपी अध्यक्ष कांग्रेस के समर्थन से बना।",4.701086400954911e-91,4.1423465866001824e-86,1.7143267176622626e-102
हालांकि अमित शाह के हरे कुर्ते पर मजे लेने वालों पर कुछ सोशल मीडिया यूजर्स भड़के भी। ऐसे यूजर्स ने लिखा कि आपके दिमाग में हरे रंग का मतलब एक ही है। और आप उस मानसिकता से बाहर भी नहीं आ सकते। हरा रंग हरियाली का भी होता है अब आपके दिमाग पर किसी ने चांद सितारे वाला हरा रंग डाल दिया है तो कोई क्या कर सकता है।,1.7668340671202711e-245,1.8516615724124022e-231,5.943069439123587e-274
अयोध् या जहरीली शराब कांड : पंचायत चुनाव में वोट के लिए मौत बांटने वाले आठ गिरफ्तार,4.767480846571851e-64,9.758892035431604e-61,3.1294030286095754e-71
चल पडे़ है नया इतिहास बनाने,9.181881949952078e-27,1.3391067373946255e-25,2.025716560655352e-28
"इंडिया टुडे की एक रिपोर्ट में , एनसीबी के हवाले से कहा गया है कि आर्यन खान और अनन्या पांडे के बीच बातचीत के दौरान , आर्यन अनन्या से गांजा के बारे में बात कर रहा थे . वह पूछ रहे थे कि क्या गाजा की व्यवस्था करने के लिए कोई ' जुगाड़ ' हो सकता है . इस पर अनन्या ने जवाब दिया , "" मैं व्यवस्था करूंगी "" . हालांकि अनन्या ने इसे मजाक में किया गया चैट भी बताया था .",3.69069323097359e-282,1.5472644205889311e-264,0.0
बता दें कि लाइलाज माने जा रहे वायरस के इलाज की दिशा में WHO समेत दुनियाभर के वैज्ञानिक लगे हुए हैं . इसी बीच चीन के वैज्ञानिकों को वायरस की पहली इमेज मिली है .,3.020045625170459e-121,9.816184675878385e-114,2.270195633297243e-140
"इंडियन एक्सप्रेस के अनुसार ये आंकड़े हैरान करने वाले हैं। बीते 18 मई तक बिहार में प्रवासी मजदूरों के 8337 सैंपल लिए गए , जिनमें से करीब 8 फीसदी कोरोना पॉजिटिव पाए गए। जबकि देश में टेस्ट के हिसाब से पॉजिटिव मरीजों की दर सिर्फ 4 है। कोरोना संक्रमित मरीजों के इन आंकड़ों को ध्यान से देखा जाए तो दिल्ली से लौटने वाले ज्यादातर प्रवासी मजदूर कोरोना पॉजिटिव मिल रहे हैं। दिल्ली से आने वाले 835 मजदूरों के सैंपल लिए गए , जिनमें से 218 कोरोना पॉजिटिव निकले। यानी हिसाब लगाया जाए तो ये दर 26 फीसदी से ज्यादा है।",0.0,0.0,0.0
"बुजुर्ग के ऊपर गिरी दीवार , मौत",3.166435207249059e-30,6.992829906807397e-29,4.580053375698718e-32
"बीजेपी नेता के मुताबिक खेलों में गड़बड़ी की जांच के नाम पर राजनीति हो रही है . वह कहते हैं , "" खेलों पर खर्च हुए 77 हजार करोड़ रुपये में से मेरी कंपनी ने सिर्फ 29 लाख रूपये का कारोबार किया और अब मुझे भ्रष्टाचार का मुख्य आरोपी माना जा रहा है . क्या यह सही है . "" मित्तल का कहना है कि वह हर तरह की जांच के लिए तैयार हैं .",7.69652805510526e-243,6.660242343647711e-226,2.0106673902383944e-295
"इस सवाल के जवाब में चीनी विदेश मंत्रालय की प्रवक्ता ने कहा , ' ' हम लोगों ने भी जापानी प्रधानमंत्री के भारत दौरे को नोटिस किया है। आपने दोनों देशों के जिस संयुक्त बयान का यहां जिक्र किया है उसे मैंने भी पढ़ा है। मैंने इस बयान में चीन शब्द कहीं नहीं पाया। ' '",6.204183315912836e-197,2.394809834685069e-185,7.49049627626606e-225
"रतलाम के ट्रिपल मर्डर का खुलासा , गुजरात के बदमाश ने लूट के लिए की थी वारदात",9.4683972565148e-64,1.5807571794192017e-60,2.569622311366284e-71
अशोकनगर ( नवदुनिया न्यूज ) । मध्य प्रदेश डिप्लोमा एसोसिएशन दो सूत्रों मांग को लेकर संभाग स्तर पर कमिश्नर के द्वारा मुख्यमंत्री एवं एडिशनल चीफ सेक्रेटरी ( छभझ ) को ज्ञापन देंगे जिसमें जो अभियंता 28 साल अपने सेवाकाल में पूर्ण कर चुके हैं उन्हें सहायक यंत्री का पद नाम एवं 2006 के बाद के जो संविदाकर्मी इंजीनियर हैं उन्हें स्थाईकर्मी बनाने ज्ञापन दिया जाए,2.506039278446713e-237,5.2762926135740714e-225,4.4181929431138803e-259
इस दौरान वकील उसका पीछा करते हुए युमना खादर के पास पहुंचे। वहां पहले से शीला भी मौजूद थी। वकील ने पीछे से बच्चा लाल पर हमला कर दिया और पत्थर से पीटकर उसकी हत्या कर दी। शव को वहां के कूड़े में ठिकाने लगा दिया। आरोपी शकील उत्तर प्रदेश के बलिया का रहने वाला है। दोनों एक साथ ही काम करते थे। वकील का उसके घर पर आना जाना था। इस दौरान शीला से उसकी जनदीकियां बढ़ गई। शीला के पांच बच्चे हैं।,1.009827642542583e-298,3.529254658293906e-282,0.0
मार्टिना सानिया ने 51 मिनट में जीता मुकाबला,8.964523928667115e-34,3.134911020837733e-32,1.4353788497965825e-35
"जेल में 2061 बंदी : जेलर आरएस यादव ने बताया कि वर्तमान में जिला कारागार में 2061 बंदी विरुद्ध हैं। जिसमें 85 महिला बंदी हैं , जबकि करीब 150 बंदी ऐसे हैं , जो 60 साल से भी अधिक आयु वाले हैं। उन्होंने बताया कि जो भी बंदी 60 वर्ष की आयु से अधिक के हैं , उन सभी को कोविड वैक्सीनेशन का लाभ दिलाया जा चुका है।",2.1951533853333324e-232,7.284024836296009e-218,7.91944863036787e-270
दिल्ली में एक और 1984 नहीं होगा,2.737438318483484e-27,1.5490115104042007e-25,2.037976644011972e-32
"Documents Create करने के लिए ही वर्डपैड इस् तेमाल करने की सलाह दी जाती हैं आप इसे लाइट Application बोल सकते हैं तथा इसका सिंपल इंटरफेस यूज़र को किसी भी Document को करने की अनुमति देता हैं आप वर्डपैड में Templates का इस् तेमाल कर सकते हैं साथ ही Documents Create करते समय Page के साइज के साथ साथ आप Look को भी बदल सकते हैं और साथ ही WordPad Page Margin बदलने की भी अनुमति भी देता हैं वर्डपैड उपयोग करने का मुख् य फायदा है कि User Documents Create करते वक् त Saved Documents को भी देख सकता हैं और अन् य Documents को भी Edit कर सकते हैं Documents Create करते वक् त User Pictures को Insert कर सकते हैं और Documents का Look माइक्रोसॉफ्ट वर्ड की तरह बना सकते हैं Windows में वर्डपैड मौजूद होता हैं इसीलिए आपको इसे बाहर से Install कराने की जरूरत नहीं होती आइये अब जानते हैं कि आप इसे कैसे Open कर सकते हैं उसके बाद सर्च बार दिखाई देगा उसमे वर्डपैड टाइप करें फिर आपको ऊपर वर्डपैड Application दिखाई देगी उस पर क्लिक करे Run Command की मदद से वर्डपैड को Access कर सकते हैं इसके लिए Window Key R को एक साथ दबायें इसके बाद आपके सामने RUN कमांड ओपन हो जाएगी अब Search Box में "" Write "" Type करें और Ok पर क्लिक करे तो हमारा वर्डपैड ओपन हो जाएगा यह मेरी निजी राय है कि ईश्वर ने मनुष्य को शक्तिशाली तो बनाया है , लेकिन इतना शक्तिशाली नहीं बनाया है कि वह किसी जैविक पदार्थ मिश्रित घातु के यंत्र में सोचने विचारने की क्षमता पैदा कर सके। फिर भी आपके प्रश्न अनुसार काल्पनिक परिदृश्य कुछ इस प्रकार का होगा जैसे अगर कोई रोबोट में सोचने विचारने की क्षमता उत्पन्न हो जाती है , तब तो यह निश्चित मानिए कि उसमें निर्णय लेने की क्षमता भी आ ही जाएंगी। और जब किसी रोबोट में सोचने विचारने की क्षमता आ जाएगी तब तो उसमें मनुष्य के सभी प्रकार के गुण एवं अवगुण भी निश्चित रूप से आ जाएंगे। मात्र उसमें भावनाओं की कमी ही रह जाएंगी। अर्थात उसके जिस्म में हृदय नहीं होगा , वह हृदय हीन ही रहेगा। उसके मस्तिष्क में नेतृत्व करने की एवं सत्ता स्थापित करने की इच्छा भी जरूर उत्पन्न होंगी। क्योंकि उसका शरीर मनुष्य की तरह नहीं होंगा , इस कारण से उसको मनुष्य की तरह शरीर में होने वाले सभी प्रकार के रोग भी नहीं होंगे। जब उसके मस्तिष्क में सत्ता लालसा उत्पन्न होगी तब वह संसार के सारे मनुष्य को अपना गुलाम बनाने की कोशिश करेंगा और अंततोगत्वा वह सफल भी हो जाएगा। जिस प्रकार से वर्तमान में मनुष्य ने अपने भोजन के लिए मुर्गी पालन केंद्र बना रखे हैं , उसी प्रकार से फिर रोबोट संसार में अपने दास दासी रूपी मनुष्य पालन केंद्र भी बनाने लगेगा , जहां पर वह मनुष्य को मात्र संतान उत्पन्न करने हेतु ही पालता रहेगा। अब आपको अगर मेरा जवाब पढ़ते पढ़ते नींद आने लग गई हो तो , कृपया आप जाग जाइए मेरा जवाब समाप्त हो गया है। धीरे से अपवोट का बटन दबा दीजिए। मजाक कर रहा हूं , कोई जरूरी नहीं है। यह चिड़िया मात्र 1 सेकेण्ड में 80 बार अपने पंख फड़फड़ाती है। यह गति इतनी तेज होती है कि हम नंगी आंखों से , इसके पंखो को देख भी नहीं सकते। इनके पंख का फड़फड़ाना , अल्टामाडर्न कैमरों में रिकार्ड करके ही देखा जा सकता है। यह दुनिया की सबसे छोटी चिड़िया है। जो मात्र 2 . 5 इन्च की होती है। और इसका वजन मात्र 4 ग्राम ही होता है। सबसे ज्यादा वजन की हमिंग बर्ड 8 ग्राम की है।अन्य पक्षियों की तरह आगे की ओर तो उड़ती है , लेकिन पीछे की ओर भी उड़ सकती है। यह अपने दांएं बाएं भी उड़ सकती है। और एैसी कर सकने वाली क्षमता वाली , यह दुनिया की एकमात्र चिड़िया हैा।",0.0,0.0,0.0
